,course_title,paid,price,subscribers,reviews,lectures,level,duration,subject
3014,Professional WordPress Theme Development For 2017,True,20,3185,102,94,All Levels,8.0,Web Development
3134,Sending email with PHP: from Basic to Advanced,True,40,379,58,45,All Levels,2.0,Web Development
2854,Ruby on Rails Tutorial: Learn 6 Ruby on Rails SEO Techniques,True,200,1266,16,21,All Levels,2.0,Web Development
3160,Professional Python Web Development Using Flask,True,120,3420,489,102,Beginner Level,14.5,Web Development
1225,How To Make Professional eBook Covers For FREE,True,20,1080,6,35,All Levels,3.0,Graphic Design
666,Level 1 2014 CFA® Program – Equity Investments,True,40,347,0,24,All Levels,4.5,Business Finance
3295,Laravel Deployment - Launch your Laravel Application Online,False,0,4905,101,13,Intermediate Level,1.0,Web Development
171,Bank Financial Management A Comprehensive Study,True,50,1081,6,21,All Levels,1.5,Business Finance
238,Double your Forex Account using the MAGIC MA trading robot,True,65,1160,117,24,Intermediate Level,2.5,Business Finance
3112,Learn to Freelance with People Per hour  (URDU),True,20,948,48,8,All Levels,0.6,Web Development
1731,Creare un logo con Adobe Illustrator,False,0,1447,121,13,All Levels,1.0,Graphic Design
1284,How to design a business card on Photoshop (for beginners),False,0,5086,197,12,Beginner Level,1.0,Graphic Design
2165,Piano With Willie Building Technique with Scales Vol. 2,True,40,61,3,9,All Levels,1.5,Musical Instruments
1094,Investimento em Ações,True,20,16,4,27,Beginner Level,4.5,Business Finance
3546,Laravel 4 try and enjoy php coding,True,20,2402,26,23,Beginner Level,2.0,Web Development
2429,Aprende escalas y arpegios Vol.2 : Modo menor,True,50,62,1,49,All Levels,2.5,Musical Instruments
885,beginning accounting,True,20,0,0,12,Intermediate Level,0.6333333329999999,Business Finance
3148,Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,True,50,18818,407,80,All Levels,11.0,Web Development
1665,7 Secrets To Designing In Black and White,True,100,1000,1,12,All Levels,1.5,Graphic Design
2684,Bootstrap 3 -> Profitable WordPress Theme Development!,True,40,5547,80,40,All Levels,3.5,Web Development
489,How to Build a Massive Retirement Plan from Scratch!,True,200,1498,30,23,Beginner Level,2.0,Business Finance
2949,"Build Your Startup with No Coding (Design, Develop & Ship)",True,30,775,245,82,All Levels,8.0,Web Development
1817,Guitar for Beginners - Learn the Basics,True,20,1026,13,19,Beginner Level,0.5166666670000001,Musical Instruments
2924,How to Start a WordPress Blog - Complete Beginners Guide!,False,0,3784,85,32,Beginner Level,2.0,Web Development
2702,Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,True,50,11384,1846,80,All Levels,5.5,Web Development
205,Mastering Candlestick Charting : High Probability Trading,True,50,123,16,35,All Levels,2.0,Business Finance
963,Basics of Finance and Budgeting,True,20,578,7,34,Beginner Level,6.0,Business Finance
2075,Learn Flute FAST!,True,45,249,33,61,Beginner Level,4.0,Musical Instruments
2373,Instant Harmonica - play 'I just called to say I love you',True,40,15,0,11,All Levels,1.0,Musical Instruments
585,Numbers for the  Business Plan,True,20,210,1,12,All Levels,1.5,Business Finance
347,Become A Forex Trader - Forex trading like a professional,False,0,1735,31,19,All Levels,2.5,Business Finance
1181,トレーディングビュー徹底攻略2017年版,True,55,952,77,53,All Levels,3.0,Business Finance
1401,Photoshop | GIMP: Quick & Easy Image Hacks for Beginners,True,135,1275,26,42,Beginner Level,3.5,Graphic Design
2189,Explosão Pentatônica,True,55,42,5,19,All Levels,1.5,Musical Instruments
2838,Projects In ReactJS - The Complete React Learning Course,True,50,947,108,56,Intermediate Level,8.0,Web Development
459,Case studies on credit appraisal for bankers,True,20,0,0,15,Beginner Level,3.5,Business Finance
1439,Mastering Photoshop Elements 13 Made Easy Training Tutorial,True,20,1738,8,166,Beginner Level,10.5,Graphic Design
3654,The Extreme Web Development Course - For Beginners,True,200,1420,62,152,All Levels,5.5,Web Development
3534,Introduction to Voice Design with Amazon's Alexa,False,0,6742,1036,6,Beginner Level,0.683333333,Web Development
2568,React VR - Creating Virtual Reality Apps,True,80,5026,72,43,All Levels,3.0,Web Development
499,Algorithmic futures trading - Investing with no experience,True,195,1512,23,19,All Levels,1.5,Business Finance
3109,CSS Specialist: Comprehensive CSS Training,True,100,487,31,52,Beginner Level,6.0,Web Development
2502,Build Enterprise Applications with Angular 2 (and Angular 4),True,190,6082,848,135,Intermediate Level,9.5,Web Development
1106,Cost of Capital and Weighted Average Cost of Capital,False,0,405,3,22,All Levels,1.0,Business Finance
1081,"Depreciation, Amortization and Depletion",True,25,7,1,13,Intermediate Level,1.0,Business Finance
3661,Learn HTML5 Canvas for beginners,True,100,2360,12,49,Beginner Level,3.5,Web Development
1673,مدخل في أساسيات الفوطوشوب للمبتدئين فقط,True,120,13,9,7,Beginner Level,1.0,Graphic Design
3268,WordPress Basics to Business: Share and Sell your Expertise,True,50,1125,10,45,Beginner Level,3.5,Web Development
2858,Build Websites from Scratch with Squarespace,True,50,342,53,60,Beginner Level,3.5,Web Development
962,Stock Trading Essentials for Day Traders,True,100,94,15,9,All Levels,1.0,Business Finance
2725,Create Startup Landing Page with Viral Marketing Strategies,False,0,12974,120,13,Beginner Level,1.0,Web Development
2523,Code a personal splash page in 1 hour,True,20,10610,83,10,Beginner Level,1.0,Web Development
2797,Pimcore Developer: Implement a Blog from a Bootstrap Theme,True,95,1212,15,39,All Levels,4.5,Web Development
750,The Truths about (in)secure Retirement,True,200,86,6,32,Intermediate Level,4.5,Business Finance
287,The Basics Of Volume Analysis,True,60,611,57,13,All Levels,1.5,Business Finance
2195,Master the Tuba - Intermediate Instruction Made Simple!,True,50,184,5,107,Intermediate Level,8.5,Musical Instruments
1151,Get out of Debt - The Power of Using Compounding Interest,True,50,1195,3,7,All Levels,2.0,Business Finance
2586,Getting Started with Craft CMS,True,20,997,31,20,All Levels,2.0,Web Development
1045,Contabilità Generale,True,200,4,1,40,All Levels,8.5,Business Finance
1163,Bonds For Beginners - A Guide To The Bond Markets,True,20,106,14,24,Beginner Level,0.566666667,Business Finance
901,SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots,True,25,462,18,34,All Levels,1.0,Business Finance
253,IAS 18 - Revenue,False,0,2571,32,23,All Levels,4.5,Business Finance
2667,JavaScript for Beginners Welcome to learning JavaScript,True,50,10864,63,26,Beginner Level,2.0,Web Development
3595,"Learn to Code in HTML5, CSS3, and JavaScript",True,20,1404,7,17,Beginner Level,2.5,Web Development
1996,How To Play Guitar - For Absolute Beginners,True,35,478,3,18,Beginner Level,1.0,Musical Instruments
1758,Adobe Suite : Unleash your creativity & benefit from it !,True,200,1005,4,46,All Levels,9.5,Graphic Design
947,How to become a successful day trader,True,95,1150,6,27,All Levels,2.5,Business Finance
383,Basics of Commerce A Complete Study,True,150,2197,4,105,All Levels,5.5,Business Finance
1021,Economics for beginners - Various Concepts,True,25,2,0,34,Beginner Level,2.5,Business Finance
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",True,185,5528,506,32,All Levels,3.0,Business Finance
1092,Cómo ganar dinero invirtiendo en bolsa,False,0,2740,306,10,Beginner Level,2.0,Business Finance
784,Practical Film Financing: Finding & Pitching Investors,True,100,0,0,9,Beginner Level,1.0,Business Finance
2575,How To Make A Web Page With No Code,False,0,2214,20,23,Beginner Level,2.0,Web Development
3616,Advance JavaScript for Coders: Learn OOP in JavaScript,True,40,334,41,54,Intermediate Level,11.5,Web Development
2622,"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",True,20,9762,94,112,All Levels,13.5,Web Development
1949,Play Piano 3: Improvise Chords to Enchanted Evening by Ear,True,50,809,5,57,All Levels,1.5,Musical Instruments
369,Cost Accounting Crash Course,True,20,3730,11,17,All Levels,2.5,Business Finance
1237,Super Textos con Photoshop,True,20,0,0,8,Beginner Level,2.0,Graphic Design
3613,Create Website from scratch in Urdu & Hindi,False,0,3033,91,9,Intermediate Level,1.0,Web Development
1135,Complete Short Financial Ratio Course for Financial Analysis,True,200,15,1,56,All Levels,3.0,Business Finance
2822,Try AngularJS: Beginner's Guide to Front End Web Development,True,50,16926,126,33,Beginner Level,4.5,Web Development
561,Financial Management - A Complete Study,True,190,1941,128,527,All Levels,71.5,Business Finance
3471,Professional WordPress Theme Development from Scratch,True,200,1284,173,301,All Levels,25.5,Web Development
841,ProTrader -  Advanced Technical Analysis,True,125,825,11,34,All Levels,2.0,Business Finance
2490,Learn JavaScript for beginners,True,200,15276,167,19,Beginner Level,1.5,Web Development
1065,Optimize! Make Best Decisions with Microsoft Excel,True,20,28,3,14,Expert Level,1.0,Business Finance
2626,JavaScript For Beginners : Learn JavaScript From Scratch,True,195,11285,102,77,All Levels,5.5,Web Development
884,Teeter-Totter Accounting,True,90,0,0,12,Beginner Level,1.0,Business Finance
3188,Projects in ExpressJS - Learn ExpressJs building 10 projects,True,50,1949,149,102,All Levels,15.5,Web Development
2299,You Can Play Jazz Saxophone,True,20,37,7,6,Beginner Level,1.5,Musical Instruments
